Order ID,Order DT,Delivery Mehtod,Search IP Address,Search DT,Credit Card,Member,Address
1,20/12/2018 00:17,pickup,242.133.4.177,12/03/2016 21:10,2.26201E+15,John_Doe@gmail.com,1
2,02/12/2018 17:32,pickup,242.133.4.178,28/08/2009 13:56,7.23631E+15,Jane.Doe@outlook.com,1
3,27/09/2021 18:29,shippment,242.133.4.179,02/07/2014 07:33,5.09049E+15,Michael_Smith@yahoo.com,1
4,28/08/2019 05:12,shippment,242.133.4.180,05/07/2012 07:39,5.21199E+15,Emily.Johnson@gmail.com,1
5,22/06/2018 13:37,shippment,242.133.4.181,08/12/2015 09:20,6.45731E+15,David_Williams@outlook.com,1
6,02/04/2020 18:24,shippment,242.133.4.182,10/11/2014 19:08,5.3788E+15,Samantha.Jones@yahoo.com,1
7,10/06/2022 13:44,pickup,242.133.4.183,14/02/2010 18:20,7.94683E+15,Christopher_Brown@gmail.com,1
8,19/10/2019 08:20,shippment,242.133.4.184,23/11/2016 17:34,8.53219E+15,Rachel.Davis@outlook.com,1
9,02/03/2018 17:22,shippment,242.133.4.185,16/01/2016 04:38,7.38185E+15,James_Garcia@yahoo.com,1
10,03/09/2019 15:45,shippment,242.133.4.186,02/10/2009 22:44,7.47856E+15,Olivia.Miller@gmail.com,1
11,16/08/2022 20:27,pickup,242.133.4.187,12/05/2015 03:01,2.1194E+15,Robert_Taylor@outlook.com,1
12,20/03/2022 22:06,pickup,242.133.4.188,08/01/2017 23:57,1.49455E+15,Abigail.Wilson@yahoo.com,1
13,10/03/2018 01:22,shippment,242.133.4.189,30/03/2016 15:10,7.77859E+15,William_Moore@gmail.com,1
14,24/10/2018 12:03,pickup,242.133.4.190,15/03/2011 14:08,4.41494E+15,Elizabeth.Anderson@outlook.com,1
15,23/07/2018 04:44,shippment,242.133.4.191,11/01/2012 09:44,4.01296E+15,Joseph_Thomas@yahoo.com,1
16,10/02/2019 05:14,shippment,242.133.4.192,04/11/2010 04:44,2.24744E+15,Sarah.Jackson@gmail.com,1
17,26/06/2021 00:22,pickup,242.133.4.193,09/01/2012 11:26,6.41399E+15,Charles_White@outlook.com,1
18,04/10/2022 00:36,pickup,242.133.4.194,03/11/2010 16:12,1.67133E+15,Madison.Harris@yahoo.com,1
19,12/05/2022 11:57,shippment,242.133.4.195,12/10/2015 15:08,2.52678E+15,George_Martin@gmail.com,1
20,22/04/2022 22:52,pickup,242.133.4.196,09/04/2010 06:57,4.51276E+15,Emily.Thompson@outlook.com,1
21,21/07/2021 21:01,pickup,242.133.4.197,11/07/2009 19:34,6.82503E+15,Richard_Gonzalez@yahoo.com,1
22,21/10/2018 23:03,pickup,242.133.4.198,23/05/2011 11:43,8.03356E+15,Abigail.Clark@gmail.com,1
23,25/11/2020 20:24,pickup,242.133.4.199,12/03/2011 20:25,9.48332E+15,David_Lewis@outlook.com,1
24,30/10/2019 14:29,pickup,242.133.4.200,27/06/2017 21:49,3.80926E+15,Rachel.Robinson@yahoo.com,1
25,25/08/2021 07:55,pickup,242.133.4.201,17/12/2014 08:52,2.93358E+15,John_Walker@gmail.com,1
26,20/02/2020 04:29,shippment,242.133.4.202,18/05/2010 02:17,1.95609E+15,Jane.Perez@outlook.com,1
27,31/08/2021 09:37,shippment,242.133.4.203,05/03/2013 08:23,9.40794E+15,Michael_Hall@yahoo.com,1
28,07/10/2018 03:12,pickup,242.133.4.204,22/09/2015 10:07,1.2153E+15,Emily.Young@gmail.com,1
29,01/06/2020 23:41,shippment,242.133.4.205,20/11/2016 15:01,9.59903E+15,David_Allen@outlook.com,1
30,11/10/2019 16:26,shippment,242.133.4.206,14/07/2009 16:09,8.93122E+15,Samantha.King@yahoo.com,1
31,29/06/2022 12:49,shippment,242.133.4.207,09/06/2010 20:51,1.13382E+15,Christopher_Wright@gmail.com,1
32,16/12/2018 03:52,shippment,242.133.4.208,12/08/2009 15:03,8.71281E+15,Rachel.Scott@outlook.com,1
33,25/02/2022 17:48,pickup,242.133.4.209,07/04/2010 02:59,5.87716E+15,James_Green@yahoo.com,1
34,06/10/2019 03:16,pickup,242.133.4.210,26/09/2014 08:40,9.65276E+15,Olivia.Baker@gmail.com,1
35,14/04/2022 21:56,shippment,242.133.4.211,30/05/2015 04:56,6.93917E+15,Robert_Adams@outlook.com,1
36,30/11/2019 14:13,pickup,242.133.4.212,20/03/2015 08:16,6.2497E+15,Abigail.Gonzalez@yahoo.com,1
37,07/09/2020 14:35,shippment,242.133.4.213,21/10/2013 07:50,1.85782E+15,William_Nelson@gmail.com,1
38,02/03/2020 16:09,shippment,242.133.4.214,14/11/2017 16:08,3.90428E+15,Elizabeth.Carter@outlook.com,1
39,01/08/2020 02:44,shippment,242.133.4.215,24/06/2009 15:14,8.55006E+15,Joseph_Mitchell@yahoo.com,1
40,11/06/2019 21:01,pickup,242.133.4.216,25/08/2016 03:42,8.35593E+15,Sarah.Peters@gmail.com,1
